naive_bayes_unigram_accuracy,naive_bayes_unigram_precision,naive_bayes_unigram_recall,naive_bayes_unigram_fscore,logistic_regression_unigram_accuracy,logistic_regression_unigram_precision,logistic_regression_unigram_recall,logistic_regression_unigram_fscore,random_forest_unigram_accuracy,random_forest_unigram_precision,random_forest_unigram_recall,random_forest_unigram_fscore,decision_tree_unigram_accuracy,decision_tree_unigram_precision,decision_tree_unigram_recall,decision_tree_unigram_fscore,naive_bayes_bigram_accuracy,naive_bayes_bigram_precision,naive_bayes_bigram_recall,naive_bayes_bigram_fscore,logistic_regression_bigram_accuracy,logistic_regression_bigram_precision,logistic_regression_bigram_recall,logistic_regression_bigram_fscore,random_forest_bigram_accuracy,random_forest_bigram_precision,random_forest_bigram_recall,random_forest_bigram_fscore,decision_tree_bigram_accuracy,decision_tree_bigram_precision,decision_tree_bigram_recall,decision_tree_bigram_fscore
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.7875,0.7613636363636364,0.8375,0.7976190476190477,0.80625,0.788235294117647,0.8375,0.8121212121212121,0.59375,0.6363636363636364,0.4375,0.5185185185185185,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.81875,0.7628865979381443,0.925,0.8361581920903955,0.7875,0.7254901960784313,0.925,0.8131868131868133,0.70625,0.6813186813186813,0.775,0.7251461988304093
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.7875,0.7555555555555555,0.85,0.7999999999999998,0.825,0.7888888888888889,0.8875,0.8352941176470587,0.6375,0.7894736842105263,0.375,0.5084745762711864,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.7875,0.73,0.9125,0.811111111111111,0.79375,0.7281553398058253,0.9375,0.8196721311475409,0.7,0.6904761904761905,0.725,0.7073170731707318
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.775,0.7391304347826086,0.85,0.7906976744186046,0.80625,0.7951807228915663,0.825,0.8098159509202455,0.6375,0.6666666666666666,0.55,0.6027397260273972,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.7875,0.73,0.9125,0.811111111111111,0.83125,0.7676767676767676,0.95,0.8491620111731844,0.64375,0.6236559139784946,0.725,0.6705202312138728
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.79375,0.7640449438202247,0.85,0.8047337278106509,0.8,0.7727272727272727,0.85,0.8095238095238095,0.5875,0.5636363636363636,0.775,0.6526315789473685,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.80625,0.7474747474747475,0.925,0.8268156424581006,0.7875,0.7211538461538461,0.9375,0.8152173913043477,0.69375,0.6666666666666666,0.775,0.7167630057803468
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.79375,0.7582417582417582,0.8625,0.8070175438596491,0.8125,0.7906976744186046,0.85,0.8192771084337349,0.6,0.5930232558139535,0.6375,0.6144578313253013,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.79375,0.7326732673267327,0.925,0.8176795580110497,0.7875,0.73,0.9125,0.811111111111111,0.7125,0.6847826086956522,0.7875,0.7325581395348837
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.7875,0.75,0.8625,0.8023255813953489,0.8125,0.7976190476190477,0.8375,0.8170731707317073,0.51875,0.5189873417721519,0.5125,0.5157232704402516,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.7875,0.73,0.9125,0.811111111111111,0.80625,0.7578947368421053,0.9,0.8228571428571428,0.71875,0.7011494252873564,0.7625,0.7305389221556886
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.75,0.7222222222222222,0.8125,0.7647058823529411,0.8,0.7857142857142857,0.825,0.8048780487804876,0.63125,0.5981308411214953,0.8,0.6844919786096256,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8,0.7448979591836735,0.9125,0.8202247191011237,0.81875,0.7575757575757576,0.9375,0.8379888268156425,0.70625,0.6813186813186813,0.775,0.7251461988304093
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.80625,0.7816091954022989,0.85,0.8143712574850299,0.825,0.8095238095238095,0.85,0.8292682926829269,0.65625,0.6237623762376238,0.7875,0.6961325966850829,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.79375,0.7422680412371134,0.9,0.8135593220338985,0.80625,0.7474747474747475,0.925,0.8268156424581006,0.66875,0.6551724137931034,0.7125,0.6826347305389221
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.8,0.7608695652173914,0.875,0.813953488372093,0.81875,0.7865168539325843,0.875,0.8284023668639053,0.475,0.4803921568627451,0.6125,0.5384615384615384,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8,0.7448979591836735,0.9125,0.8202247191011237,0.825,0.7653061224489796,0.9375,0.8426966292134831,0.65,0.625,0.75,0.6818181818181818
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.8,0.7727272727272727,0.85,0.8095238095238095,0.8125,0.8125,0.8125,0.8125,0.64375,0.6292134831460674,0.7,0.6627218934911242,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.79375,0.7373737373737373,0.9125,0.8156424581005587,0.825,0.7653061224489796,0.9375,0.8426966292134831,0.7125,0.6770833333333334,0.8125,0.7386363636363636
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.7875,0.7613636363636364,0.8375,0.7976190476190477,0.79375,0.7831325301204819,0.8125,0.7975460122699387,0.56875,0.5647058823529412,0.6,0.5818181818181819,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.80625,0.7474747474747475,0.925,0.8268156424581006,0.775,0.7156862745098039,0.9125,0.8021978021978022,0.71875,0.6881720430107527,0.8,0.7398843930635839
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.775,0.7391304347826086,0.85,0.7906976744186046,0.84375,0.8235294117647058,0.875,0.8484848484848485,0.575,0.6363636363636364,0.35,0.45161290322580644,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.8,0.7448979591836735,0.9125,0.8202247191011237,0.8,0.7352941176470589,0.9375,0.8241758241758242,0.6625,0.6382978723404256,0.75,0.6896551724137931
0.85625,0.8275862068965517,0.9,0.8622754491017964,0.80625,0.7634408602150538,0.8875,0.8208092485549132,0.8125,0.8048780487804879,0.825,0.8148148148148149,0.6,0.5975609756097561,0.6125,0.6049382716049384,0.85625,0.8202247191011236,0.9125,0.863905325443787,0.7875,0.73,0.9125,0.811111111111111,0.8125,0.7551020408163265,0.925,0.8314606741573034,0.70625,0.6987951807228916,0.725,0.7116564417177915
