,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
134,134,0.8484375,2022-10-29 16:34:48.307432,2022-10-29 16:34:48.681872,0 days 00:00:00.374440,1301,70.0,30,COMPLETE
135,135,0.8265625,2022-10-29 16:34:48.682409,2022-10-29 16:34:48.838704,0 days 00:00:00.156295,101,100.0,10,COMPLETE
136,136,0.8640625,2022-10-29 16:34:48.839144,2022-10-29 16:34:49.125021,0 days 00:00:00.285877,1061,70.0,10,COMPLETE
137,137,0.8359375,2022-10-29 16:34:49.125494,2022-10-29 16:34:49.583422,0 days 00:00:00.457928,1061,30.0,70,COMPLETE
138,138,0.853125,2022-10-29 16:34:49.583882,2022-10-29 16:34:50.002950,0 days 00:00:00.419068,1381,70.0,50,COMPLETE
139,139,0.89375,2022-10-29 16:34:50.003404,2022-10-29 16:34:50.251753,0 days 00:00:00.248349,971,70.0,10,COMPLETE
140,140,0.8734375,2022-10-29 16:34:50.252265,2022-10-29 16:34:50.493663,0 days 00:00:00.241398,941,70.0,10,COMPLETE
141,141,0.8703125,2022-10-29 16:34:50.494156,2022-10-29 16:34:50.743901,0 days 00:00:00.249745,931,70.0,10,COMPLETE
142,142,0.8625,2022-10-29 16:34:50.744445,2022-10-29 16:34:51.090542,0 days 00:00:00.346097,931,70.0,10,COMPLETE
143,143,0.8265625,2022-10-29 16:34:51.091156,2022-10-29 16:34:52.232810,0 days 00:00:01.141654,981,70.0,510,COMPLETE
144,144,0.853125,2022-10-29 16:34:52.233331,2022-10-29 16:34:52.468250,0 days 00:00:00.234919,631,70.0,10,COMPLETE
145,145,0.8546875,2022-10-29 16:34:52.468763,2022-10-29 16:34:52.750020,0 days 00:00:00.281257,761,70.0,50,COMPLETE
146,146,0.8796875,2022-10-29 16:34:52.750458,2022-10-29 16:34:52.997819,0 days 00:00:00.247361,911,70.0,10,COMPLETE
