,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
102,102,0.721875,2022-10-29 16:43:51.089630,2022-10-29 16:43:51.232924,0 days 00:00:00.143294,471,60.0,330,COMPLETE
103,103,0.709375,2022-10-29 16:43:51.233426,2022-10-29 16:43:51.330185,0 days 00:00:00.096759,281,60.0,310,COMPLETE
104,104,0.6875,2022-10-29 16:43:51.330643,2022-10-29 16:43:51.539403,0 days 00:00:00.208760,731,60.0,410,COMPLETE
105,105,0.7234375000000001,2022-10-29 16:43:51.539848,2022-10-29 16:43:51.676165,0 days 00:00:00.136317,461,40.0,270,COMPLETE
106,106,0.7296874999999999,2022-10-29 16:43:51.676607,2022-10-29 16:43:51.912726,0 days 00:00:00.236119,601,60.0,230,COMPLETE
107,107,0.7093750000000001,2022-10-29 16:43:51.913162,2022-10-29 16:43:52.186834,0 days 00:00:00.273672,1011,60.0,230,COMPLETE
108,108,0.6921875000000001,2022-10-29 16:43:52.187266,2022-10-29 16:43:52.488371,0 days 00:00:00.301105,1161,50.0,350,COMPLETE
109,109,0.7234375,2022-10-29 16:43:52.488817,2022-10-29 16:43:52.676137,0 days 00:00:00.187320,371,60.0,390,COMPLETE
110,110,0.71875,2022-10-29 16:43:52.676588,2022-10-29 16:43:52.913012,0 days 00:00:00.236424,861,60.0,230,COMPLETE
111,111,0.7015625000000001,2022-10-29 16:43:52.913587,2022-10-29 16:43:53.074941,0 days 00:00:00.161354,591,70.0,290,COMPLETE
112,112,0.7078125,2022-10-29 16:43:53.075375,2022-10-29 16:43:53.258422,0 days 00:00:00.183047,681,80.0,150,COMPLETE
113,113,0.6953125,2022-10-29 16:43:53.258855,2022-10-29 16:43:53.460249,0 days 00:00:00.201394,771,60.0,190,COMPLETE
114,114,0.7234375000000001,2022-10-29 16:43:53.460686,2022-10-29 16:43:53.606300,0 days 00:00:00.145614,501,60.0,250,COMPLETE
115,115,0.721875,2022-10-29 16:43:53.606734,2022-10-29 16:43:53.696240,0 days 00:00:00.089506,231,30.0,430,COMPLETE
116,116,0.7281250000000001,2022-10-29 16:43:53.696665,2022-10-29 16:43:53.815405,0 days 00:00:00.118740,351,,370,COMPLETE
117,117,0.7375,2022-10-29 16:43:53.815861,2022-10-29 16:43:53.998084,0 days 00:00:00.182223,591,20.0,290,COMPLETE
118,118,0.7109375000000001,2022-10-29 16:43:53.998531,2022-10-29 16:43:54.061973,0 days 00:00:00.063442,101,20.0,330,COMPLETE
119,119,0.7250000000000001,2022-10-29 16:43:54.062401,2022-10-29 16:43:54.389791,0 days 00:00:00.327390,1291,20.0,270,COMPLETE
120,120,0.7265625,2022-10-29 16:43:54.390274,2022-10-29 16:43:54.575640,0 days 00:00:00.185366,641,20.0,310,COMPLETE
121,121,0.7296875,2022-10-29 16:43:54.576078,2022-10-29 16:43:54.737624,0 days 00:00:00.161546,581,30.0,290,COMPLETE
122,122,0.6953125,2022-10-29 16:43:54.738076,2022-10-29 16:43:54.884331,0 days 00:00:00.146255,481,30.0,330,COMPLETE
123,123,0.7234375000000001,2022-10-29 16:43:54.884814,2022-10-29 16:43:55.133154,0 days 00:00:00.248340,901,30.0,290,COMPLETE
124,124,0.65,2022-10-29 16:43:55.133592,2022-10-29 16:43:55.949827,0 days 00:00:00.816235,3381,30.0,290,COMPLETE
125,125,0.7015625000000001,2022-10-29 16:43:55.950301,2022-10-29 16:43:56.184689,0 days 00:00:00.234388,761,10.0,370,COMPLETE
126,126,0.715625,2022-10-29 16:43:56.185130,2022-10-29 16:43:56.326076,0 days 00:00:00.140946,391,30.0,270,COMPLETE
127,127,0.7015624999999999,2022-10-29 16:43:56.326561,2022-10-29 16:43:56.589343,0 days 00:00:00.262782,551,70.0,470,COMPLETE
128,128,0.7187499999999999,2022-10-29 16:43:56.589838,2022-10-29 16:43:56.791533,0 days 00:00:00.201695,611,20.0,190,COMPLETE
129,129,0.7265625,2022-10-29 16:43:56.791990,2022-10-29 16:43:57.076452,0 days 00:00:00.284462,1051,30.0,350,COMPLETE
130,130,0.6859375,2022-10-29 16:43:57.076911,2022-10-29 16:43:57.789368,0 days 00:00:00.712457,2161,60.0,250,COMPLETE
131,131,0.7296874999999999,2022-10-29 16:43:57.789998,2022-10-29 16:43:57.989537,0 days 00:00:00.199539,691,30.0,310,COMPLETE
132,132,0.728125,2022-10-29 16:43:57.990010,2022-10-29 16:43:58.198948,0 days 00:00:00.208938,801,60.0,230,COMPLETE
133,133,0.7062499999999999,2022-10-29 16:43:58.199390,2022-10-29 16:43:58.394172,0 days 00:00:00.194782,711,30.0,310,COMPLETE
134,134,0.7046875,2022-10-29 16:43:58.394690,2022-10-29 16:43:58.535176,0 days 00:00:00.140486,461,30.0,330,COMPLETE
135,135,0.7125,2022-10-29 16:43:58.535636,2022-10-29 16:43:58.703044,0 days 00:00:00.167408,571,40.0,390,COMPLETE
136,136,0.7343749999999999,2022-10-29 16:43:58.703492,2022-10-29 16:43:58.938204,0 days 00:00:00.234712,941,30.0,350,COMPLETE
137,137,0.7296874999999999,2022-10-29 16:43:58.938659,2022-10-29 16:43:59.175675,0 days 00:00:00.237016,941,30.0,410,COMPLETE
138,138,0.7218749999999999,2022-10-29 16:43:59.176202,2022-10-29 16:43:59.388281,0 days 00:00:00.212079,841,50.0,350,COMPLETE
139,139,0.7203125,2022-10-29 16:43:59.388861,2022-10-29 16:43:59.633094,0 days 00:00:00.244233,961,30.0,390,COMPLETE
140,140,0.7343749999999999,2022-10-29 16:43:59.633563,2022-10-29 16:43:59.848835,0 days 00:00:00.215272,701,20.0,310,COMPLETE
141,141,0.7000000000000001,2022-10-29 16:43:59.849283,2022-10-29 16:44:00.131900,0 days 00:00:00.282617,1121,20.0,470,COMPLETE
142,142,0.7046874999999999,2022-10-29 16:44:00.132412,2022-10-29 16:44:00.305715,0 days 00:00:00.173303,651,20.0,290,COMPLETE
143,143,0.7062499999999999,2022-10-29 16:44:00.306176,2022-10-29 16:44:00.492120,0 days 00:00:00.185944,711,20.0,310,COMPLETE
144,144,0.690625,2022-10-29 16:44:00.492580,2022-10-29 16:44:00.594690,0 days 00:00:00.102110,281,80.0,350,COMPLETE
145,145,0.73125,2022-10-29 16:44:00.595124,2022-10-29 16:44:00.833081,0 days 00:00:00.237957,821,30.0,270,COMPLETE
146,146,0.7328125,2022-10-29 16:44:00.833527,2022-10-29 16:44:01.040246,0 days 00:00:00.206719,841,20.0,250,COMPLETE
147,147,0.671875,2022-10-29 16:44:01.040719,2022-10-29 16:44:01.249109,0 days 00:00:00.208390,831,20.0,250,COMPLETE
148,148,0.709375,2022-10-29 16:44:01.249585,2022-10-29 16:44:01.516737,0 days 00:00:00.267152,1011,20.0,210,COMPLETE
149,149,0.70625,2022-10-29 16:44:01.517177,2022-10-29 16:44:01.738837,0 days 00:00:00.221660,881,20.0,270,COMPLETE
150,150,0.715625,2022-10-29 16:44:01.739425,2022-10-29 16:44:01.862831,0 days 00:00:00.123406,411,70.0,270,COMPLETE
151,151,0.7124999999999999,2022-10-29 16:44:01.863277,2022-10-29 16:44:02.059932,0 days 00:00:00.196655,741,20.0,330,COMPLETE
152,152,0.709375,2022-10-29 16:44:02.060373,2022-10-29 16:44:02.214208,0 days 00:00:00.153835,501,30.0,290,COMPLETE
153,153,0.7453125,2022-10-29 16:44:02.214693,2022-10-29 16:44:02.391513,0 days 00:00:00.176820,641,100.0,250,COMPLETE
154,154,0.715625,2022-10-29 16:44:02.391952,2022-10-29 16:44:02.554941,0 days 00:00:00.162989,571,100.0,250,COMPLETE
155,155,0.6687500000000001,2022-10-29 16:44:02.555415,2022-10-29 16:44:03.140257,0 days 00:00:00.584842,2541,100.0,350,COMPLETE
156,156,0.7078125000000001,2022-10-29 16:44:03.140762,2022-10-29 16:44:03.353507,0 days 00:00:00.212745,771,100.0,270,COMPLETE
157,157,0.7390625,2022-10-29 16:44:03.354039,2022-10-29 16:44:03.600022,0 days 00:00:00.245983,941,90.0,210,COMPLETE
158,158,0.6875,2022-10-29 16:44:03.600476,2022-10-29 16:44:03.870753,0 days 00:00:00.270277,1071,90.0,170,COMPLETE
159,159,0.7109375,2022-10-29 16:44:03.871239,2022-10-29 16:44:04.155383,0 days 00:00:00.284144,941,90.0,210,COMPLETE
160,160,0.653125,2022-10-29 16:44:04.155881,2022-10-29 16:44:04.925786,0 days 00:00:00.769905,3141,90.0,230,COMPLETE
161,161,0.7140625,2022-10-29 16:44:04.926312,2022-10-29 16:44:05.171405,0 days 00:00:00.245093,831,100.0,290,COMPLETE
162,162,0.7046874999999999,2022-10-29 16:44:05.171897,2022-10-29 16:44:05.358133,0 days 00:00:00.186236,641,90.0,250,COMPLETE
163,163,0.734375,2022-10-29 16:44:05.358614,2022-10-29 16:44:05.548673,0 days 00:00:00.190059,681,,310,COMPLETE
164,164,0.6968749999999999,2022-10-29 16:44:05.549119,2022-10-29 16:44:05.799334,0 days 00:00:00.250215,891,,330,COMPLETE
165,165,0.6859375,2022-10-29 16:44:05.800049,2022-10-29 16:44:06.106869,0 days 00:00:00.306820,1241,,370,COMPLETE
166,166,0.7171875,2022-10-29 16:44:06.107362,2022-10-29 16:44:06.265841,0 days 00:00:00.158479,491,,310,COMPLETE
167,167,0.7109375,2022-10-29 16:44:06.266478,2022-10-29 16:44:06.450614,0 days 00:00:00.184136,641,10.0,310,COMPLETE
168,168,0.703125,2022-10-29 16:44:06.451355,2022-10-29 16:44:06.670490,0 days 00:00:00.219135,771,,190,COMPLETE
169,169,0.725,2022-10-29 16:44:06.670958,2022-10-29 16:44:06.797583,0 days 00:00:00.126625,381,30.0,270,COMPLETE
170,170,0.7218749999999999,2022-10-29 16:44:06.798056,2022-10-29 16:44:06.987208,0 days 00:00:00.189152,601,20.0,230,COMPLETE
171,171,0.7109375000000001,2022-10-29 16:44:06.987717,2022-10-29 16:44:07.184656,0 days 00:00:00.196939,681,70.0,330,COMPLETE
172,172,0.6921875000000001,2022-10-29 16:44:07.185115,2022-10-29 16:44:07.340804,0 days 00:00:00.155689,531,30.0,290,COMPLETE
173,173,0.7093750000000001,2022-10-29 16:44:07.341260,2022-10-29 16:44:07.553078,0 days 00:00:00.211818,811,60.0,370,COMPLETE
174,174,0.675,2022-10-29 16:44:07.553559,2022-10-29 16:44:07.807261,0 days 00:00:00.253702,1001,20.0,250,COMPLETE
175,175,0.715625,2022-10-29 16:44:07.807728,2022-10-29 16:44:08.013501,0 days 00:00:00.205773,721,30.0,290,COMPLETE
176,176,0.728125,2022-10-29 16:44:08.013970,2022-10-29 16:44:08.259282,0 days 00:00:00.245312,891,40.0,330,COMPLETE
177,177,0.7140625,2022-10-29 16:44:08.259742,2022-10-29 16:44:08.485754,0 days 00:00:00.226012,791,60.0,310,COMPLETE
178,178,0.7093750000000001,2022-10-29 16:44:08.486234,2022-10-29 16:44:08.673303,0 days 00:00:00.187069,701,50.0,270,COMPLETE
