,number,value,datetime_start,datetime_complete,duration,params_C,params_feat,state
188,188,0.871875,2022-10-29 16:12:15.749428,2022-10-29 16:12:16.184831,0 days 00:00:00.435403,4911,1421,COMPLETE
189,189,0.8890625000000001,2022-10-29 16:12:16.185361,2022-10-29 16:12:16.714140,0 days 00:00:00.528779,4801,1651,COMPLETE
190,190,0.8734375,2022-10-29 16:12:16.714625,2022-10-29 16:12:17.174121,0 days 00:00:00.459496,4541,1881,COMPLETE
191,191,0.878125,2022-10-29 16:12:17.174746,2022-10-29 16:12:17.576498,0 days 00:00:00.401752,4701,1601,COMPLETE
192,192,0.865625,2022-10-29 16:12:17.576956,2022-10-29 16:12:17.994691,0 days 00:00:00.417735,4821,1481,COMPLETE
193,193,0.8546875,2022-10-29 16:12:17.995176,2022-10-29 16:12:18.448070,0 days 00:00:00.452894,4921,1751,COMPLETE
194,194,0.8812499999999999,2022-10-29 16:12:18.448571,2022-10-29 16:12:18.878235,0 days 00:00:00.429664,4671,1611,COMPLETE
195,195,0.859375,2022-10-29 16:12:18.878807,2022-10-29 16:12:19.238242,0 days 00:00:00.359435,4761,1361,COMPLETE
196,196,0.8890625000000001,2022-10-29 16:12:19.238706,2022-10-29 16:12:19.626494,0 days 00:00:00.387788,4601,1491,COMPLETE
197,197,0.8890625,2022-10-29 16:12:19.626981,2022-10-29 16:12:20.046313,0 days 00:00:00.419332,4931,1671,COMPLETE
198,198,0.8890625,2022-10-29 16:12:20.047089,2022-10-29 16:12:20.455438,0 days 00:00:00.408349,4831,1551,COMPLETE
199,199,0.8640625,2022-10-29 16:12:20.455973,2022-10-29 16:12:20.913113,0 days 00:00:00.457140,4491,1291,COMPLETE
