,number,value,datetime_start,datetime_complete,duration,params_feat,params_rf_max_depth,params_rf_max_feat,state
155,155,0.8171875,2022-10-29 16:40:39.160533,2022-10-29 16:40:39.390031,0 days 00:00:00.229498,691,80.0,10,COMPLETE
156,156,0.8171875,2022-10-29 16:40:39.390551,2022-10-29 16:40:39.696462,0 days 00:00:00.305911,791,80.0,70,COMPLETE
157,157,0.8265625,2022-10-29 16:40:39.697037,2022-10-29 16:40:39.981094,0 days 00:00:00.284057,941,80.0,30,COMPLETE
158,158,0.834375,2022-10-29 16:40:39.981567,2022-10-29 16:40:40.188113,0 days 00:00:00.206546,621,90.0,10,COMPLETE
159,159,0.81875,2022-10-29 16:40:40.188551,2022-10-29 16:40:40.452042,0 days 00:00:00.263491,591,90.0,50,COMPLETE
160,160,0.81875,2022-10-29 16:40:40.452557,2022-10-29 16:40:40.746350,0 days 00:00:00.293793,681,90.0,70,COMPLETE
161,161,0.825,2022-10-29 16:40:40.746836,2022-10-29 16:40:40.975867,0 days 00:00:00.229031,751,90.0,10,COMPLETE
162,162,0.81875,2022-10-29 16:40:40.976308,2022-10-29 16:40:41.226172,0 days 00:00:00.249864,521,90.0,50,COMPLETE
163,163,0.8203125,2022-10-29 16:40:41.226654,2022-10-29 16:40:41.477860,0 days 00:00:00.251206,631,80.0,30,COMPLETE
164,164,0.8140625,2022-10-29 16:40:41.478324,2022-10-29 16:40:41.701088,0 days 00:00:00.222764,711,90.0,10,COMPLETE
165,165,0.8078125,2022-10-29 16:40:41.701547,2022-10-29 16:40:42.286941,0 days 00:00:00.585394,611,100.0,290,COMPLETE
166,166,0.809375,2022-10-29 16:40:42.287407,2022-10-29 16:40:42.636576,0 days 00:00:00.349169,841,90.0,90,COMPLETE
167,167,0.834375,2022-10-29 16:40:42.637020,2022-10-29 16:40:42.866004,0 days 00:00:00.228984,551,40.0,30,COMPLETE
168,168,0.825,2022-10-29 16:40:42.866492,2022-10-29 16:40:43.113631,0 days 00:00:00.247139,471,40.0,50,COMPLETE
169,169,0.828125,2022-10-29 16:40:43.114070,2022-10-29 16:40:43.454691,0 days 00:00:00.340621,561,50.0,110,COMPLETE
170,170,0.81875,2022-10-29 16:40:43.455350,2022-10-29 16:40:43.681923,0 days 00:00:00.226573,511,90.0,30,COMPLETE
171,171,0.8,2022-10-29 16:40:43.682414,2022-10-29 16:40:44.110079,0 days 00:00:00.427665,1651,,10,COMPLETE
172,172,0.84375,2022-10-29 16:40:44.110569,2022-10-29 16:40:44.355867,0 days 00:00:00.245298,681,30.0,30,COMPLETE
173,173,0.8234375,2022-10-29 16:40:44.356390,2022-10-29 16:40:44.623339,0 days 00:00:00.266949,661,30.0,50,COMPLETE
174,174,0.84375,2022-10-29 16:40:44.623908,2022-10-29 16:40:44.829220,0 days 00:00:00.205312,581,30.0,10,COMPLETE
175,175,0.8046875,2022-10-29 16:40:44.829671,2022-10-29 16:40:45.113025,0 days 00:00:00.283354,571,30.0,70,COMPLETE
176,176,0.8140625,2022-10-29 16:40:45.113464,2022-10-29 16:40:45.353701,0 days 00:00:00.240237,671,30.0,30,COMPLETE
177,177,0.8171875,2022-10-29 16:40:45.354190,2022-10-29 16:40:45.595286,0 days 00:00:00.241096,451,30.0,50,COMPLETE
178,178,0.846875,2022-10-29 16:40:45.595766,2022-10-29 16:40:45.832128,0 days 00:00:00.236362,801,60.0,10,COMPLETE
179,179,0.821875,2022-10-29 16:40:45.832658,2022-10-29 16:40:46.071362,0 days 00:00:00.238704,801,60.0,10,COMPLETE
180,180,0.85,2022-10-29 16:40:46.071855,2022-10-29 16:40:46.288653,0 days 00:00:00.216798,731,30.0,10,COMPLETE
181,181,0.8203125,2022-10-29 16:40:46.289182,2022-10-29 16:40:46.511373,0 days 00:00:00.222191,761,30.0,10,COMPLETE
182,182,0.8046875,2022-10-29 16:40:46.511863,2022-10-29 16:40:46.747782,0 days 00:00:00.235919,861,30.0,10,COMPLETE
183,183,0.8296875,2022-10-29 16:40:46.748227,2022-10-29 16:40:47.037506,0 days 00:00:00.289279,621,30.0,70,COMPLETE
184,184,0.8109375,2022-10-29 16:40:47.038000,2022-10-29 16:40:47.294301,0 days 00:00:00.256301,721,30.0,30,COMPLETE
185,185,0.8328125,2022-10-29 16:40:47.294925,2022-10-29 16:40:47.556699,0 days 00:00:00.261774,551,60.0,50,COMPLETE
186,186,0.840625,2022-10-29 16:40:47.557204,2022-10-29 16:40:47.790500,0 days 00:00:00.233296,821,30.0,10,COMPLETE
187,187,0.8265625,2022-10-29 16:40:47.790998,2022-10-29 16:40:48.011953,0 days 00:00:00.220955,811,30.0,10,COMPLETE
188,188,0.8140625,2022-10-29 16:40:48.012452,2022-10-29 16:40:48.245958,0 days 00:00:00.233506,911,30.0,10,COMPLETE
189,189,0.81875,2022-10-29 16:40:48.246409,2022-10-29 16:40:48.570957,0 days 00:00:00.324548,831,30.0,70,COMPLETE
190,190,0.81875,2022-10-29 16:40:48.571462,2022-10-29 16:40:48.817669,0 days 00:00:00.246207,691,60.0,30,COMPLETE
191,191,0.8234375,2022-10-29 16:40:48.818173,2022-10-29 16:40:49.100605,0 days 00:00:00.282432,761,30.0,50,COMPLETE
192,192,0.8171875,2022-10-29 16:40:49.101112,2022-10-29 16:40:49.333725,0 days 00:00:00.232613,611,60.0,30,COMPLETE
193,193,0.8421875,2022-10-29 16:40:49.334222,2022-10-29 16:40:49.576912,0 days 00:00:00.242690,661,30.0,30,COMPLETE
194,194,0.8078125,2022-10-29 16:40:49.577413,2022-10-29 16:40:49.925785,0 days 00:00:00.348372,871,30.0,90,COMPLETE
195,195,0.790625,2022-10-29 16:40:49.926294,2022-10-29 16:40:50.859101,0 days 00:00:00.932807,661,30.0,510,COMPLETE
196,196,0.8296875,2022-10-29 16:40:50.859568,2022-10-29 16:40:51.129384,0 days 00:00:00.269816,711,30.0,30,COMPLETE
197,197,0.83125,2022-10-29 16:40:51.129834,2022-10-29 16:40:51.354386,0 days 00:00:00.224552,791,30.0,10,COMPLETE
198,198,0.8375,2022-10-29 16:40:51.354934,2022-10-29 16:40:51.642822,0 days 00:00:00.287888,741,80.0,50,COMPLETE
